ID_agricola;producto;municipio;ano;ha_sembradas;ha_cosechadas;produccion_por_toneladas;rendimiento_x_hectarea;precio_por_kilogramo;precio_por_tonelada;produccion_en_pesos;produccion_en_miles;produccion_en_millones;latitud;longitud;descripcion;drive_id;imagen_html
31;Achira;Albán;2019;12;12;81;7;3117;3117000;250918500;250919;251;1.4744;-77.0836;La achira es una planta originaria de América tropical, conocida por sus raíces comestibles, que se utilizan para producir harina rica en almidón.;1DcmG_qoZgMDgKPIabdcbKY0N7mFaeftb;"<img src='https://drive.google.com/thumbnail?id=1DcmG_qoZgMDgKPIabdcbKY0N7mFaeftb' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
33;Achira;Albán;2020;7;7;5;1;3919;3919000;19203100;19203;19;1.4744;-77.0836;La achira es una planta originaria de América tropical, conocida por sus raíces comestibles, que se utilizan para producir harina rica en almidón.;1DcmG_qoZgMDgKPIabdcbKY0N7mFaeftb;"<img src='https://drive.google.com/thumbnail?id=1DcmG_qoZgMDgKPIabdcbKY0N7mFaeftb' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
32;Achira;Albán;2021;7;7;5;1;4076;4076000;19972400;19972;20;1.4744;-77.0836;La achira es una planta originaria de América tropical, conocida por sus raíces comestibles, que se utilizan para producir harina rica en almidón.;1DcmG_qoZgMDgKPIabdcbKY0N7mFaeftb;"<img src='https://drive.google.com/thumbnail?id=1DcmG_qoZgMDgKPIabdcbKY0N7mFaeftb' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
30;Achira;Albán;2022;10;17;136;8;11152;11152000;1516672000;1516672;1517;1.4744;-77.0836;La achira es una planta originaria de América tropical, conocida por sus raíces comestibles, que se utilizan para producir harina rica en almidón.;1DcmG_qoZgMDgKPIabdcbKY0N7mFaeftb;"<img src='https://drive.google.com/thumbnail?id=1DcmG_qoZgMDgKPIabdcbKY0N7mFaeftb' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
29;Achira;Albán;2023;10;8;64;4;7567;7567000;484288000;484288;484;1.4744;-77.0836;La achira es una planta originaria de América tropical, conocida por sus raíces comestibles, que se utilizan para producir harina rica en almidón.;1DcmG_qoZgMDgKPIabdcbKY0N7mFaeftb;"<img src='https://drive.google.com/thumbnail?id=1DcmG_qoZgMDgKPIabdcbKY0N7mFaeftb' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
67;Aguacate;Albán;2019;76;72;360;5;4158;4158000;1496880000;1496880;1497;1.4744;-77.0836;El aguacate es un fruto originario de América Central, conocido por su pulpa verde cremosa y alto contenido de grasas saludables, fibra, vitaminas y minerales. ;1fKQ21WmFq1hfcisptdsYbPQm1zWGFjrb;"<img src='https://drive.google.com/thumbnail?id=1fKQ21WmFq1hfcisptdsYbPQm1zWGFjrb' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
66;Aguacate;Albán;2020;62;61;424;7;5280;5280000;2236080000;2236080;2236;1.4744;-77.0836;El aguacate es un fruto originario de América Central, conocido por su pulpa verde cremosa y alto contenido de grasas saludables, fibra, vitaminas y minerales. ;1fKQ21WmFq1hfcisptdsYbPQm1zWGFjrb;"<img src='https://drive.google.com/thumbnail?id=1fKQ21WmFq1hfcisptdsYbPQm1zWGFjrb' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
65;Aguacate;Albán;2021;64;60;422;7;5478;5478000;2312263800;2312264;2312;1.4744;-77.0836;El aguacate es un fruto originario de América Central, conocido por su pulpa verde cremosa y alto contenido de grasas saludables, fibra, vitaminas y minerales. ;1fKQ21WmFq1hfcisptdsYbPQm1zWGFjrb;"<img src='https://drive.google.com/thumbnail?id=1fKQ21WmFq1hfcisptdsYbPQm1zWGFjrb' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
64;Aguacate;Albán;2022;70;63;380;6;7026;7026000;2668474800;2668475;2668;1.4744;-77.0836;El aguacate es un fruto originario de América Central, conocido por su pulpa verde cremosa y alto contenido de grasas saludables, fibra, vitaminas y minerales. ;1fKQ21WmFq1hfcisptdsYbPQm1zWGFjrb;"<img src='https://drive.google.com/thumbnail?id=1fKQ21WmFq1hfcisptdsYbPQm1zWGFjrb' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
63;Aguacate;Albán;2023;72;63;380;6;8702;8702000;3305019600;3305020;3305;1.4744;-77.0836;El aguacate es un fruto originario de América Central, conocido por su pulpa verde cremosa y alto contenido de grasas saludables, fibra, vitaminas y minerales. ;1fKQ21WmFq1hfcisptdsYbPQm1zWGFjrb;"<img src='https://drive.google.com/thumbnail?id=1fKQ21WmFq1hfcisptdsYbPQm1zWGFjrb' style='width: 100%; max-width: 100%; object-fit: contain;'/>"
